kod_obce,obec,volebni_ucast_%,volici_v_seznamu,vydane_obalky,odevzdane_obalky,platne_hlasy,platne_hlasy_%,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
547786,Adršpach,"59,95",437,262,262,262,"100,00",44,1,0,14,0,12,23,1,3,2,0,0,25,0,17,72,0,1,9,1,1,2,34,0
573884,Bezděkov nad Metují,"63,45",446,283,283,279,"98,59",27,0,0,19,1,19,12,3,4,3,0,0,26,0,4,71,0,1,31,2,0,0,55,1
573892,Bohuslavice,"67,93",789,536,536,530,"98,88",53,0,0,42,1,28,30,7,5,7,0,0,38,0,22,172,0,1,64,8,0,2,46,4
573906,Borová,"68,72",179,123,123,122,"99,19",9,0,0,7,0,4,8,5,3,1,0,0,15,0,2,47,0,0,14,0,0,0,7,0
573914,Božanov,"57,97",276,160,160,159,"99,38",12,0,0,9,0,17,19,0,1,1,0,0,24,0,1,50,0,0,10,1,0,0,14,0
573922,Broumov,"51,36",6082,3124,3124,3118,"99,81",229,1,2,265,3,119,274,42,25,29,4,2,325,5,108,1077,3,9,203,10,6,14,348,15
573931,Brzice,"67,76",183,124,124,123,"99,19",13,0,0,6,1,9,10,0,1,0,0,0,14,0,7,36,0,0,18,1,0,0,7,0
547751,Bukovice,"69,80",298,208,208,208,"100,00",28,0,0,15,0,13,7,2,0,4,0,0,17,1,8,61,1,1,23,2,0,2,23,0
573957,Černčice,"66,50",397,264,264,258,"97,73",9,0,0,21,3,7,13,6,2,6,0,0,36,1,12,68,1,2,39,4,0,0,27,1
505099,Červená Hora,"72,84",162,118,118,117,"99,15",5,1,0,5,0,17,8,2,1,0,0,0,11,0,5,40,0,0,15,0,0,0,7,0
573965,Červený Kostelec,"65,74",6679,4391,4389,4356,"99,25",502,4,3,238,6,160,209,48,32,95,5,7,391,5,283,1200,3,10,675,21,5,12,434,8
573973,Česká Čermná,"72,60",416,302,302,301,"99,67",40,2,0,37,1,7,2,4,3,4,0,0,23,0,7,93,0,0,43,1,2,0,31,1
573981,Česká Metuje,"59,23",233,138,138,137,"99,28",11,1,0,15,0,6,15,3,1,4,0,0,11,0,2,52,0,1,3,0,0,0,12,0
573990,Česká Skalice,"59,60",4158,2478,2476,2453,"99,07",286,2,2,152,2,72,145,27,11,24,1,1,215,0,122,838,1,3,186,16,1,1,336,9
574015,Dolany,"66,54",523,348,348,344,"98,85",34,0,0,12,0,13,28,11,3,4,0,0,23,0,12,151,3,0,11,4,0,0,34,1
574023,Dolní Radechová,"71,09",626,445,445,442,"99,33",54,1,0,42,1,17,21,3,2,2,1,1,37,0,30,141,0,1,35,2,0,0,51,0
574031,Hejtmánkovice,"58,30",518,302,302,298,"98,68",24,1,0,24,0,12,18,2,8,3,0,0,23,1,8,118,0,0,11,1,0,1,43,0
574040,Heřmanice,"59,27",329,195,195,193,"98,97",32,0,5,12,0,14,10,2,1,0,0,0,18,1,4,65,0,0,6,1,1,1,20,0
574058,Heřmánkovice,"51,88",399,207,207,203,"98,07",8,0,0,15,2,5,19,0,2,3,0,0,12,0,2,100,0,0,4,1,0,0,29,1
574066,Horní Radechová,"64,80",392,254,254,253,"99,61",19,0,1,26,1,8,16,4,0,2,0,0,26,0,5,83,0,1,34,1,0,0,26,0
547531,Hořenice,"58,54",123,72,72,71,"98,61",9,0,0,4,0,1,2,2,1,1,0,1,11,0,4,22,0,0,2,0,1,0,10,0
574074,Hořičky,"67,76",459,311,311,307,"98,71",23,4,0,16,0,13,11,0,4,7,1,0,33,0,20,102,0,0,41,0,0,3,27,2
574082,Hronov,"62,23",5030,3130,3128,3091,"98,82",405,4,1,242,3,151,145,33,26,36,2,4,305,3,122,956,3,6,311,15,7,8,296,7
574163,Hynčice,"43,05",151,65,65,65,"100,00",0,0,0,7,0,1,10,0,0,0,0,0,4,1,0,26,0,0,2,0,0,0,14,0
574112,Chvalkovice,"63,11",591,373,373,371,"99,46",20,1,0,14,0,18,37,3,3,3,0,1,42,2,12,134,0,0,17,2,0,0,61,1
574121,Jaroměř,"56,88",9894,5628,5624,5584,"99,29",555,8,1,309,7,310,454,92,43,70,7,9,579,7,289,1849,3,15,266,44,9,11,640,7
574139,Jasenná,"60,17",575,346,346,344,"99,42",25,0,0,29,0,22,21,4,6,6,0,1,31,0,16,98,0,2,34,6,0,2,40,1
574147,Jestřebí,"72,06",136,98,98,98,"100,00",11,0,0,9,0,5,3,1,1,3,0,0,12,0,2,19,0,0,24,0,0,0,8,0
574155,Jetřichov,"59,32",381,226,226,226,"100,00",26,0,0,22,0,17,19,0,2,4,0,0,22,0,6,61,0,0,16,0,0,1,30,0
574546,Kramolna,"75,57",884,668,667,665,"99,70",111,0,1,48,0,22,23,4,5,8,1,0,78,0,39,185,2,1,51,5,2,0,78,1
574171,Křinice,"55,79",337,188,188,186,"98,94",12,0,0,9,0,10,23,1,1,3,1,0,20,1,7,47,1,3,25,1,0,1,20,0
574180,Lhota pod Hořičkami,"63,52",233,148,148,146,"98,65",21,1,0,5,1,5,3,2,3,1,0,0,11,0,1,59,1,1,11,0,0,0,20,0
547701,Libchyně,"74,58",59,44,44,44,"100,00",6,0,0,2,0,0,0,2,1,0,0,0,6,0,2,13,0,0,6,1,0,0,5,0
573388,Litoboř,"69,15",94,65,65,65,"100,00",11,1,0,1,0,3,1,0,0,2,0,0,8,0,3,17,0,1,8,0,0,0,9,0
574210,Machov,"64,86",888,576,575,566,"98,43",86,1,0,53,2,44,17,8,7,4,1,1,41,1,27,159,0,1,46,4,0,1,59,3
574228,Martínkovice,"64,54",423,273,273,271,"99,27",16,0,0,20,1,15,25,0,1,0,0,0,16,0,7,110,0,0,26,3,0,1,28,2
574236,Mezilečí,"73,11",119,87,87,87,"100,00",11,0,0,3,0,1,9,0,0,0,0,0,7,0,2,27,0,0,13,1,0,0,13,0
574244,Mezilesí,"64,00",200,128,128,128,"100,00",14,0,0,5,0,12,6,1,0,1,0,0,14,0,4,35,3,2,11,0,0,1,19,0
574252,Meziměstí,"54,70",2002,1095,1094,1089,"99,54",65,1,0,148,1,39,109,9,8,11,0,0,95,1,19,413,3,2,50,2,1,2,110,0
574261,Nahořany,"65,02",426,277,277,273,"98,56",18,0,0,11,0,11,9,2,4,5,0,0,25,0,12,104,0,1,28,1,0,0,41,1
573868,Náchod,"61,37",16069,9861,9856,9796,"99,39",1007,28,4,1155,6,279,552,154,57,131,8,12,1017,7,443,3023,19,24,835,42,11,18,938,26
574279,Nové Město nad Metují,"67,73",7802,5284,5279,5260,"99,64",677,11,6,328,5,203,268,65,41,123,0,2,554,9,314,1557,6,9,515,42,4,9,495,17
574287,Nový Hrádek,"73,33",615,451,451,449,"99,56",40,6,0,38,0,36,18,3,4,10,1,0,44,3,17,116,0,3,76,1,2,1,30,0
574295,Nový Ples,"64,23",274,176,176,174,"98,86",15,0,0,10,0,6,15,4,1,1,1,0,19,0,7,52,0,0,15,2,1,1,23,1
574317,Otovice,"54,36",298,162,162,159,"98,15",17,0,0,14,0,5,14,5,1,0,0,0,19,0,2,66,0,0,5,2,0,0,9,0
574341,Police nad Metují,"61,84",3336,2063,2063,2052,"99,47",350,3,2,163,5,78,123,29,22,10,2,0,195,1,83,579,0,2,192,5,4,2,196,6
574350,Provodov-Šonov,"68,31",953,651,650,648,"99,69",84,1,0,28,1,34,24,13,7,5,0,0,85,0,15,199,0,0,105,2,1,0,44,0
574368,Přibyslav,"64,33",157,101,101,101,"100,00",11,0,0,2,0,6,3,0,1,0,0,0,6,0,13,27,0,0,13,0,0,0,19,0
574376,Rasošky,"62,90",531,334,334,332,"99,40",41,0,0,15,1,15,21,4,2,5,0,0,29,2,14,115,1,0,15,1,1,1,48,1
574384,Rožnov,"61,64",318,196,196,196,"100,00",15,0,0,13,0,17,14,2,2,1,1,0,23,0,10,60,0,0,9,2,0,0,27,0
574406,Rychnovek,"62,30",504,314,314,310,"98,73",30,0,0,12,1,19,23,1,2,1,4,0,26,1,14,105,0,1,27,1,0,2,38,2
530786,Říkov,"68,45",168,115,115,114,"99,13",7,0,0,7,0,5,12,2,2,4,0,0,13,0,6,33,0,0,8,1,1,2,11,0
547727,Sendraž,"72,41",87,63,63,63,"100,00",4,0,0,4,0,9,2,2,2,4,0,0,8,0,4,9,0,0,8,0,0,0,7,0
574422,Slatina nad Úpou,"75,00",244,183,183,183,"100,00",5,0,0,12,0,8,9,1,0,0,0,1,24,0,4,51,0,0,39,2,0,0,27,0
574431,Slavětín nad Metují,"76,14",197,150,150,148,"98,67",15,2,0,16,0,6,4,0,0,2,0,0,15,0,10,52,0,0,6,1,0,0,17,2
574457,Slavoňov,"76,42",229,175,175,174,"99,43",4,1,0,10,0,7,8,4,1,5,0,0,18,1,7,48,1,1,37,1,0,1,19,0
574465,Stárkov,"65,64",521,342,342,341,"99,71",31,0,0,26,1,13,23,4,2,6,0,0,38,0,11,115,1,0,26,0,0,1,42,1
574481,Studnice,"71,13",866,616,616,614,"99,68",66,0,0,45,0,25,38,21,4,10,0,0,46,1,30,211,4,0,46,4,1,3,57,2
574490,Suchý Důl,"69,23",325,225,225,219,"97,33",31,0,0,18,0,19,8,4,0,1,0,0,25,0,11,60,0,0,21,0,1,0,19,1
547654,Šestajovice,"59,87",152,91,91,91,"100,00",7,0,0,8,0,5,8,0,1,1,0,0,10,0,4,30,0,0,5,0,0,1,10,1
574511,Šonov,"53,75",240,129,129,129,"100,00",8,0,0,9,0,3,27,1,0,0,0,0,10,0,0,46,0,0,3,0,1,0,21,0
574538,Teplice nad Metují,"59,00",1400,826,826,816,"98,79",85,1,0,44,1,75,86,9,5,13,1,0,83,4,60,221,0,0,36,6,1,1,83,1
574554,Velichovky,"72,00",700,504,504,502,"99,60",51,4,1,35,3,43,29,4,7,8,1,2,50,0,20,169,3,1,27,3,0,4,35,2
574562,Velká Jesenice,"61,17",613,375,375,371,"98,93",20,0,1,27,1,21,25,4,3,5,0,0,26,0,13,138,0,0,54,1,0,0,31,1
574571,Velké Petrovice,"64,78",335,217,217,217,"100,00",24,0,0,38,0,6,12,1,2,5,2,0,43,0,4,34,1,1,13,3,2,0,26,0
547646,Velké Poříčí,"67,86",1879,1275,1275,1259,"98,75",208,1,0,92,1,36,77,13,11,13,0,1,93,2,72,387,2,3,119,3,0,5,116,4
574589,Velký Třebešov,"66,92",260,174,174,172,"98,85",21,1,1,13,0,3,11,2,4,2,0,0,14,0,4,55,0,3,16,0,0,1,20,1
547743,Vernéřovice,"57,81",256,148,147,146,"99,32",11,0,0,9,0,13,10,0,1,1,0,0,10,0,6,56,0,0,6,1,0,0,21,1
547565,Vestec,"71,92",146,105,105,104,"99,05",17,0,0,10,0,2,4,3,0,0,0,0,16,0,2,24,0,0,10,0,1,0,15,0
574601,Vlkov,"65,00",300,195,195,194,"99,49",20,0,0,12,0,13,18,8,5,2,0,0,8,1,12,54,1,1,10,0,2,0,25,2
574627,Vršovka,"71,96",107,77,77,77,"100,00",11,0,0,7,0,1,2,0,1,0,0,0,12,0,10,19,0,0,5,0,0,0,9,0
574635,Vysoká Srbská,"63,13",217,137,136,135,"99,26",20,1,0,10,0,9,3,1,2,0,0,0,8,0,9,52,1,0,13,1,0,0,5,0
574643,Vysokov,"71,58",380,272,272,270,"99,26",32,0,0,11,1,9,23,1,1,2,0,0,23,0,20,85,4,0,27,3,0,1,25,2
574651,Zábrodí,"68,59",417,286,286,281,"98,25",41,0,0,26,1,14,8,4,0,6,0,0,40,0,12,62,0,0,35,2,0,0,28,2
574660,Zaloňov,"67,03",367,246,245,245,"100,00",4,3,1,13,0,16,26,3,3,1,0,0,15,0,6,88,0,1,4,1,2,2,55,1
574686,Žďár nad Metují,"65,13",522,340,340,337,"99,12",59,0,1,14,2,20,15,3,2,2,0,0,30,0,19,106,1,2,24,1,1,3,31,1
574694,Žďárky,"66,30",454,301,301,296,"98,34",58,0,1,25,0,16,12,0,2,1,0,2,14,0,13,85,1,0,38,0,1,2,25,0
574708,Žernov,"69,95",203,142,142,141,"99,30",28,0,0,7,2,5,2,6,2,2,0,1,12,0,21,34,0,0,10,1,0,0,8,0
